IBGE_6;CÓDIGO IBGE MUNICÍPIO;MUNICÍPIO;CÓDIGO RRAS;RRAS;CÓDIGO REGIÃO DE SAÚDE;REGIÃO DE SAÚDE;CÓDIGO DRS;DEPARTAMENTO REGIONAL DE SAÚDE
350010;3500105;Adamantina;10;RRAS 10;35091;ADAMANTINA;3509;MARÍLIA
350020;3500204;Adolfo;12;RRAS 12;35156;JOSÉ BONIFÁCIO;3515;SÃO JOSÉ DO RIO PRETO
350030;3500303;Aguaí;15;RRAS 15;35142;MANTIQUEIRA;3514;SÃO JOÃO DA BOA VISTA
350040;3500402;Águas da Prata;15;RRAS 15;35142;MANTIQUEIRA;3514;SÃO JOÃO DA BOA VISTA
350050;3500501;Águas de Lindóia;15;RRAS 15;35074;CIRCUITO DAS ÁGUAS;3507;CAMPINAS
350055;3500550;Águas de Santa Bárbara;09;RRAS 09;35061;VALE DO JURUMIRIM;3506;BAURU
350060;3500600;Águas de São Pedro;14;RRAS 14;35103;PIRACICABA;3510;PIRACICABA
350070;3500709;Agudos;09;RRAS 09;35062;BAURU;3506;BAURU
350075;3500758;Alambari;08;RRAS 08;35161;ITAPETININGA;3516;SOROCABA
350080;3500808;Alfredo Marcondes;11;RRAS 11;35112;ALTA SOROCABANA;3511;PRESIDENTE PRUDENTE
350090;3500907;Altair;13;RRAS 13;35051;NORTE-BARRETOS;3505;BARRETOS
350100;3501004;Altinópolis;13;RRAS 13;35133;VALE DAS CACHOEIRAS;3513;RIBEIRÃO PRETO
350110;3501103;Alto Alegre;12;RRAS 12;35023;DOS CONSÓRCIOS DO DRS II;3502;ARAÇATUBA
350115;3501152;Alumínio;08;RRAS 08;35163;SOROCABA;3516;SOROCABA
350120;3501202;Álvares Florence;12;RRAS 12;35157;VOTUPORANGA;3515;SÃO JOSÉ DO RIO PRETO
350130;3501301;Álvares Machado;11;RRAS 11;35112;ALTA SOROCABANA;3511;PRESIDENTE PRUDENTE
350140;3501400;Álvaro de Carvalho;10;RRAS 10;35093;MARÍLIA;3509;MARÍLIA
350150;3501509;Alvinlândia;10;RRAS 10;35093;MARÍLIA;3509;MARÍLIA
350160;3501608;Americana;15;RRAS 15;35072;REG METRO CAMPINAS;3507;CAMPINAS
350170;3501707;Américo Brasiliense;13;RRAS 13;35031;CENTRAL DO DRS III;3503;ARARAQUARA
350180;3501806;Américo de Campos;12;RRAS 12;35157;VOTUPORANGA;3515;SÃO JOSÉ DO RIO PRETO
350190;3501905;Amparo;15;RRAS 15;35074;CIRCUITO DAS ÁGUAS;3507;CAMPINAS
350200;3502002;Analândia;14;RRAS 14;35104;RIO CLARO;3510;PIRACICABA
350210;3502101;Andradina;12;RRAS 12;35022;DOS LAGOS DO DRS II;3502;ARAÇATUBA
350220;3502200;Angatuba;08;RRAS 08;35161;ITAPETININGA;3516;SOROCABA
350230;3502309;Anhembi;09;RRAS 09;35063;POLO CUESTA;3506;BAURU
350240;3502408;Anhumas;11;RRAS 11;35112;ALTA SOROCABANA;3511;PRESIDENTE PRUDENTE
350250;3502507;Aparecida;17;RRAS 17;35172;CIRCUITO DA FÉ - VALE HISTÓRICO;3517;TAUBATÉ
350260;3502606;Aparecida d'Oeste;12;RRAS 12;35153;JALES;3515;SÃO JOSÉ DO RIO PRETO
350270;3502705;Apiaí;08;RRAS 08;35162;ITAPEVA;3516;SOROCABA
350275;3502754;Araçariguama;08;RRAS 08;35163;SOROCABA;3516;SOROCABA
350280;3502804;Araçatuba;12;RRAS 12;35021;CENTRAL DO DRS II;3502;ARAÇATUBA
350290;3502903;Araçoiaba da Serra;08;RRAS 08;35163;SOROCABA;3516;SOROCABA
350300;3503000;Aramina;13;RRAS 13;35083;ALTA MOGIANA;3508;FRANCA
350310;3503109;Arandu;09;RRAS 09;35061;VALE DO JURUMIRIM;3506;BAURU
350315;3503158;Arapeí;17;RRAS 17;35172;CIRCUITO DA FÉ - VALE HISTÓRICO;3517;TAUBATÉ
350320;3503208;Araraquara;13;RRAS 13;35031;CENTRAL DO DRS III;3503;ARARAQUARA
350330;3503307;Araras;14;RRAS 14;35101;ARARAS;3510;PIRACICABA
350335;3503356;Arco-Íris;10;RRAS 10;35095;TUPÃ;3509;MARÍLIA
350340;3503406;Arealva;09;RRAS 09;35062;BAURU;3506;BAURU
350350;3503505;Areias;17;RRAS 17;35172;CIRCUITO DA FÉ - VALE HISTÓRICO;3517;TAUBATÉ
350360;3503604;Areiópolis;09;RRAS 09;35063;POLO CUESTA;3506;BAURU
350370;3503703;Ariranha;12;RRAS 12;35151;CATANDUVA;3515;SÃO JOSÉ DO RIO PRETO
350380;3503802;Artur Nogueira;15;RRAS 15;35072;REG METRO CAMPINAS;3507;CAMPINAS
350390;3503901;Arujá;02;RRAS 02;35011;ALTO DO TIETÊ;3501;GRANDE SÃO PAULO
350395;3503950;Aspásia;12;RRAS 12;35153;JALES;3515;SÃO JOSÉ DO RIO PRETO
350400;3504008;Assis;10;RRAS 10;35092;ASSIS;3509;MARÍLIA
350410;3504107;Atibaia;16;RRAS 16;35071;BRAGANÇA;3507;CAMPINAS
350420;3504206;Auriflama;12;RRAS 12;35021;CENTRAL DO DRS II;3502;ARAÇATUBA
350430;3504305;Avaí;09;RRAS 09;35062;BAURU;3506;BAURU
350440;3504404;Avanhandava;12;RRAS 12;35023;DOS CONSÓRCIOS DO DRS II;3502;ARAÇATUBA
350450;3504503;Avaré;09;RRAS 09;35061;VALE DO JURUMIRIM;3506;BAURU
350460;3504602;Bady Bassitt;12;RRAS 12;35155;SÃO JOSÉ DO RIO PRETO;3515;SÃO JOSÉ DO RIO PRETO
350470;3504701;Balbinos;09;RRAS 09;35062;BAURU;3506;BAURU
350480;3504800;Bálsamo;12;RRAS 12;35155;SÃO JOSÉ DO RIO PRETO;3515;SÃO JOSÉ DO RIO PRETO
350490;3504909;Bananal;17;RRAS 17;35172;CIRCUITO DA FÉ - VALE HISTÓRICO;3517;TAUBATÉ
350500;3505005;Barão de Antonina;09;RRAS 09;35061;VALE DO JURUMIRIM;3506;BAURU
350510;3505104;Barbosa;12;RRAS 12;35023;DOS CONSÓRCIOS DO DRS II;3502;ARAÇATUBA
350520;3505203;Bariri;09;RRAS 09;35064;JAU;3506;BAURU
350530;3505302;Barra Bonita;09;RRAS 09;35064;JAU;3506;BAURU
350535;3505351;Barra do Chapéu;08;RRAS 08;35162;ITAPEVA;3516;SOROCABA
350540;3505401;Barra do Turvo;07;RRAS 07;35121;VALE DO RIBEIRA;3512;REGISTRO
350550;3505500;Barretos;13;RRAS 13;35051;NORTE-BARRETOS;3505;BARRETOS
350560;3505609;Barrinha;13;RRAS 13;35131;HORIZONTE VERDE;3513;RIBEIRÃO PRETO
350570;3505708;Barueri;05;RRAS 05;35014;ROTA DOS BANDEIRANTES;3501;GRANDE SÃO PAULO
350580;3505807;Bastos;10;RRAS 10;35095;TUPÃ;3509;MARÍLIA
350590;3505906;Batatais;13;RRAS 13;35133;VALE DAS CACHOEIRAS;3513;RIBEIRÃO PRETO
350600;3506003;Bauru;09;RRAS 09;35062;BAURU;3506;BAURU
350610;3506102;Bebedouro;13;RRAS 13;35052;SUL-BARRETOS;3505;BARRETOS
350620;3506201;Bento de Abreu;12;RRAS 12;35021;CENTRAL DO DRS II;3502;ARAÇATUBA
350630;3506300;Bernardino de Campos;10;RRAS 10;35094;OURINHOS;3509;MARÍLIA
350635;3506359;Bertioga;07;RRAS 07;35041;BAIXADA SANTISTA;3504;BAIXADA SANTISTA
350640;3506409;Bilac;12;RRAS 12;35021;CENTRAL DO DRS II;3502;ARAÇATUBA
350650;3506508;Birigui;12;RRAS 12;35023;DOS CONSÓRCIOS DO DRS II;3502;ARAÇATUBA
350660;3506607;Biritiba-Mirim;02;RRAS 02;35011;ALTO DO TIETÊ;3501;GRANDE SÃO PAULO
350670;3506706;Boa Esperança do Sul;13;RRAS 13;35031;CENTRAL DO DRS III;3503;ARARAQUARA
350680;3506805;Bocaina;09;RRAS 09;35064;JAU;3506;BAURU
350690;3506904;Bofete;09;RRAS 09;35063;POLO CUESTA;3506;BAURU
350700;3507001;Boituva;08;RRAS 08;35163;SOROCABA;3516;SOROCABA
350710;3507100;Bom Jesus dos Perdões;16;RRAS 16;35071;BRAGANÇA;3507;CAMPINAS
350715;3507159;Bom Sucesso de Itararé;08;RRAS 08;35162;ITAPEVA;3516;SOROCABA
350720;3507209;Borá;10;RRAS 10;35092;ASSIS;3509;MARÍLIA
350730;3507308;Boracéia;09;RRAS 09;35064;JAU;3506;BAURU
350740;3507407;Borborema;13;RRAS 13;35032;CENTRO OESTE DO DRS III;3503;ARARAQUARA
350745;3507456;Borebi;09;RRAS 09;35062;BAURU;3506;BAURU
350750;3507506;Botucatu;09;RRAS 09;35063;POLO CUESTA;3506;BAURU
350760;3507605;Bragança Paulista;16;RRAS 16;35071;BRAGANÇA;3507;CAMPINAS
350770;3507704;Braúna;12;RRAS 12;35023;DOS CONSÓRCIOS DO DRS II;3502;ARAÇATUBA
350775;3507753;Brejo Alegre;12;RRAS 12;35023;DOS CONSÓRCIOS DO DRS II;3502;ARAÇATUBA
350780;3507803;Brodowski;13;RRAS 13;35133;VALE DAS CACHOEIRAS;3513;RIBEIRÃO PRETO
350790;3507902;Brotas;09;RRAS 09;35064;JAU;3506;BAURU
350800;3508009;Buri;08;RRAS 08;35162;ITAPEVA;3516;SOROCABA
350810;3508108;Buritama;12;RRAS 12;35023;DOS CONSÓRCIOS DO DRS II;3502;ARAÇATUBA
350820;3508207;Buritizal;13;RRAS 13;35083;ALTA MOGIANA;3508;FRANCA
350830;3508306;Cabrália Paulista;09;RRAS 09;35062;BAURU;3506;BAURU
350840;3508405;Cabreúva;16;RRAS 16;35073;JUNDIAÍ;3507;CAMPINAS
350850;3508504;Caçapava;17;RRAS 17;35171;ALTO VALE DO PARAÍBA;3517;TAUBATÉ
350860;3508603;Cachoeira Paulista;17;RRAS 17;35172;CIRCUITO DA FÉ - VALE HISTÓRICO;3517;TAUBATÉ
350870;3508702;Caconde;15;RRAS 15;35143;RIO PARDO;3514;SÃO JOÃO DA BOA VISTA
350880;3508801;Cafelândia;09;RRAS 09;35065;LINS;3506;BAURU
350890;3508900;Caiabu;11;RRAS 11;35112;ALTA SOROCABANA;3511;PRESIDENTE PRUDENTE
350900;3509007;Caieiras;03;RRAS 03;35012;FRANCO DA ROCHA;3501;GRANDE SÃO PAULO
350910;3509106;Caiuá;11;RRAS 11;35114;EXTREMO OESTE PAULISTA;3511;PRESIDENTE PRUDENTE
350920;3509205;Cajamar;03;RRAS 03;35012;FRANCO DA ROCHA;3501;GRANDE SÃO PAULO
350925;3509254;Cajati;07;RRAS 07;35121;VALE DO RIBEIRA;3512;REGISTRO
350930;3509304;Cajobi;13;RRAS 13;35051;NORTE-BARRETOS;3505;BARRETOS
350940;3509403;Cajuru;13;RRAS 13;35133;VALE DAS CACHOEIRAS;3513;RIBEIRÃO PRETO
350945;3509452;Campina do Monte Alegre;08;RRAS 08;35161;ITAPETININGA;3516;SOROCABA
350950;3509502;Campinas;15;RRAS 15;35072;REG METRO CAMPINAS;3507;CAMPINAS
350960;3509601;Campo Limpo Paulista;16;RRAS 16;35073;JUNDIAÍ;3507;CAMPINAS
350970;3509700;Campos do Jordão;17;RRAS 17;35174;V. PARAÍBA-REG. SERRANA;3517;TAUBATÉ
350980;3509809;Campos Novos Paulista;10;RRAS 10;35093;MARÍLIA;3509;MARÍLIA
350990;3509908;Cananéia;07;RRAS 07;35121;VALE DO RIBEIRA;3512;REGISTRO
350995;3509957;Canas;17;RRAS 17;35172;CIRCUITO DA FÉ - VALE HISTÓRICO;3517;TAUBATÉ
351000;3510005;Cândido Mota;10;RRAS 10;35092;ASSIS;3509;MARÍLIA
351010;3510104;Cândido Rodrigues;13;RRAS 13;35033;NORTE DO DRS III;3503;ARARAQUARA
351015;3510153;Canitar;10;RRAS 10;35094;OURINHOS;3509;MARÍLIA
351020;3510203;Capão Bonito;08;RRAS 08;35161;ITAPETININGA;3516;SOROCABA
351030;3510302;Capela do Alto;08;RRAS 08;35163;SOROCABA;3516;SOROCABA
351040;3510401;Capivari;14;RRAS 14;35103;PIRACICABA;3510;PIRACICABA
351050;3510500;Caraguatatuba;17;RRAS 17;35173;LITORAL NORTE;3517;TAUBATÉ
351060;3510609;Carapicuíba;05;RRAS 05;35014;ROTA DOS BANDEIRANTES;3501;GRANDE SÃO PAULO
351070;3510708;Cardoso;12;RRAS 12;35157;VOTUPORANGA;3515;SÃO JOSÉ DO RIO PRETO
351080;3510807;Casa Branca;15;RRAS 15;35143;RIO PARDO;3514;SÃO JOÃO DA BOA VISTA
351090;3510906;Cássia dos Coqueiros;13;RRAS 13;35133;VALE DAS CACHOEIRAS;3513;RIBEIRÃO PRETO
351100;3511003;Castilho;12;RRAS 12;35022;DOS LAGOS DO DRS II;3502;ARAÇATUBA
351110;3511102;Catanduva;12;RRAS 12;35151;CATANDUVA;3515;SÃO JOSÉ DO RIO PRETO
351120;3511201;Catiguá;12;RRAS 12;35151;CATANDUVA;3515;SÃO JOSÉ DO RIO PRETO
351130;3511300;Cedral;12;RRAS 12;35155;SÃO JOSÉ DO RIO PRETO;3515;SÃO JOSÉ DO RIO PRETO
351140;3511409;Cerqueira César;09;RRAS 09;35061;VALE DO JURUMIRIM;3506;BAURU
351150;3511508;Cerquilho;08;RRAS 08;35161;ITAPETININGA;3516;SOROCABA
351160;3511607;Cesário Lange;08;RRAS 08;35161;ITAPETININGA;3516;SOROCABA
351170;3511706;Charqueada;14;RRAS 14;35103;PIRACICABA;3510;PIRACICABA
351190;3511904;Clementina;12;RRAS 12;35023;DOS CONSÓRCIOS DO DRS II;3502;ARAÇATUBA
351200;3512001;Colina;13;RRAS 13;35051;NORTE-BARRETOS;3505;BARRETOS
351210;3512100;Colômbia;13;RRAS 13;35051;NORTE-BARRETOS;3505;BARRETOS
351220;3512209;Conchal;14;RRAS 14;35101;ARARAS;3510;PIRACICABA
351230;3512308;Conchas;09;RRAS 09;35063;POLO CUESTA;3506;BAURU
351240;3512407;Cordeirópolis;14;RRAS 14;35102;LIMEIRA;3510;PIRACICABA
351250;3512506;Coroados;12;RRAS 12;35023;DOS CONSÓRCIOS DO DRS II;3502;ARAÇATUBA
351260;3512605;Coronel Macedo;09;RRAS 09;35061;VALE DO JURUMIRIM;3506;BAURU
351270;3512704;Corumbataí;14;RRAS 14;35104;RIO CLARO;3510;PIRACICABA
351280;3512803;Cosmópolis;15;RRAS 15;35072;REG METRO CAMPINAS;3507;CAMPINAS
351290;3512902;Cosmorama;12;RRAS 12;35157;VOTUPORANGA;3515;SÃO JOSÉ DO RIO PRETO
351300;3513009;Cotia;04;RRAS 04;35013;MANANCIAIS;3501;GRANDE SÃO PAULO
351310;3513108;Cravinhos;13;RRAS 13;35132;AQUÍFERO GUARANI;3513;RIBEIRÃO PRETO
351320;3513207;Cristais Paulista;13;RRAS 13;35081;TRÊS COLINAS;3508;FRANCA
351330;3513306;Cruzália;10;RRAS 10;35092;ASSIS;3509;MARÍLIA
351340;3513405;Cruzeiro;17;RRAS 17;35172;CIRCUITO DA FÉ - VALE HISTÓRICO;3517;TAUBATÉ
351350;3513504;Cubatão;07;RRAS 07;35041;BAIXADA SANTISTA;3504;BAIXADA SANTISTA
351360;3513603;Cunha;17;RRAS 17;35172;CIRCUITO DA FÉ - VALE HISTÓRICO;3517;TAUBATÉ
351370;3513702;Descalvado;13;RRAS 13;35034;CORAÇÃO DO DRS III;3503;ARARAQUARA
351380;3513801;Diadema;01;RRAS 01;35015;GRANDE ABC;3501;GRANDE SÃO PAULO
351385;3513850;Dirce Reis;12;RRAS 12;35153;JALES;3515;SÃO JOSÉ DO RIO PRETO
351390;3513900;Divinolândia;15;RRAS 15;35143;RIO PARDO;3514;SÃO JOÃO DA BOA VISTA
351400;3514007;Dobrada;13;RRAS 13;35033;NORTE DO DRS III;3503;ARARAQUARA
351410;3514106;Dois Córregos;09;RRAS 09;35064;JAU;3506;BAURU
351420;3514205;Dolcinópolis;12;RRAS 12;35153;JALES;3515;SÃO JOSÉ DO RIO PRETO
351430;3514304;Dourado;13;RRAS 13;35034;CORAÇÃO DO DRS III;3503;ARARAQUARA
351440;3514403;Dracena;11;RRAS 11;35111;ALTA PAULISTA;3511;PRESIDENTE PRUDENTE
351450;3514502;Duartina;09;RRAS 09;35062;BAURU;3506;BAURU
351460;3514601;Dumont;13;RRAS 13;35131;HORIZONTE VERDE;3513;RIBEIRÃO PRETO
351470;3514700;Echaporã;10;RRAS 10;35093;MARÍLIA;3509;MARÍLIA
351480;3514809;Eldorado;07;RRAS 07;35121;VALE DO RIBEIRA;3512;REGISTRO
351490;3514908;Elias Fausto;14;RRAS 14;35103;PIRACICABA;3510;PIRACICABA
351492;3514924;Elisiário;12;RRAS 12;35151;CATANDUVA;3515;SÃO JOSÉ DO RIO PRETO
351495;3514957;Embaúba;12;RRAS 12;35151;CATANDUVA;3515;SÃO JOSÉ DO RIO PRETO
351500;3515004;Embu das Artes;04;RRAS 04;35013;MANANCIAIS;3501;GRANDE SÃO PAULO
351510;3515103;Embu-Guaçu;04;RRAS 04;35013;MANANCIAIS;3501;GRANDE SÃO PAULO
351512;3515129;Emilianópolis;11;RRAS 11;35112;ALTA SOROCABANA;3511;PRESIDENTE PRUDENTE
351515;3515152;Engenheiro Coelho;14;RRAS 14;35102;LIMEIRA;3510;PIRACICABA
351518;3515186;Espírito Santo do Pinhal;15;RRAS 15;35142;MANTIQUEIRA;3514;SÃO JOÃO DA BOA VISTA
351519;3515194;Espírito Santo do Turvo;10;RRAS 10;35094;OURINHOS;3509;MARÍLIA
351520;3515202;Estrela d'Oeste;12;RRAS 12;35154;FERNANDÓPOLIS;3515;SÃO JOSÉ DO RIO PRETO
351530;3515301;Estrela do Norte;11;RRAS 11;35112;ALTA SOROCABANA;3511;PRESIDENTE PRUDENTE
351535;3515350;Euclides da Cunha Paulista;11;RRAS 11;35115;PONTAL DO PARANAPANEMA;3511;PRESIDENTE PRUDENTE
351540;3515400;Fartura;09;RRAS 09;35061;VALE DO JURUMIRIM;3506;BAURU
351550;3515509;Fernandópolis;12;RRAS 12;35154;FERNANDÓPOLIS;3515;SÃO JOSÉ DO RIO PRETO
351560;3515608;Fernando Prestes;12;RRAS 12;35151;CATANDUVA;3515;SÃO JOSÉ DO RIO PRETO
351565;3515657;Fernão;10;RRAS 10;35093;MARÍLIA;3509;MARÍLIA
351570;3515707;Ferraz de Vasconcelos;02;RRAS 02;35011;ALTO DO TIETÊ;3501;GRANDE SÃO PAULO
351580;3515806;Flora Rica;11;RRAS 11;35111;ALTA PAULISTA;3511;PRESIDENTE PRUDENTE
351590;3515905;Floreal;12;RRAS 12;35157;VOTUPORANGA;3515;SÃO JOSÉ DO RIO PRETO
351600;3516002;Flórida Paulista;10;RRAS 10;35091;ADAMANTINA;3509;MARÍLIA
351610;3516101;Florínia;10;RRAS 10;35092;ASSIS;3509;MARÍLIA
351620;3516200;Franca;13;RRAS 13;35081;TRÊS COLINAS;3508;FRANCA
351630;3516309;Francisco Morato;03;RRAS 03;35012;FRANCO DA ROCHA;3501;GRANDE SÃO PAULO
351640;3516408;Franco da Rocha;03;RRAS 03;35012;FRANCO DA ROCHA;3501;GRANDE SÃO PAULO
351650;3516507;Gabriel Monteiro;12;RRAS 12;35023;DOS CONSÓRCIOS DO DRS II;3502;ARAÇATUBA
351660;3516606;Gália;10;RRAS 10;35093;MARÍLIA;3509;MARÍLIA
351670;3516705;Garça;10;RRAS 10;35093;MARÍLIA;3509;MARÍLIA
351680;3516804;Gastão Vidigal;12;RRAS 12;35157;VOTUPORANGA;3515;SÃO JOSÉ DO RIO PRETO
351685;3516853;Gavião Peixoto;13;RRAS 13;35031;CENTRAL DO DRS III;3503;ARARAQUARA
351690;3516903;General Salgado;12;RRAS 12;35157;VOTUPORANGA;3515;SÃO JOSÉ DO RIO PRETO
351700;3517000;Getulina;09;RRAS 09;35065;LINS;3506;BAURU
351710;3517109;Glicério;12;RRAS 12;35023;DOS CONSÓRCIOS DO DRS II;3502;ARAÇATUBA
351720;3517208;Guaiçara;09;RRAS 09;35065;LINS;3506;BAURU
351730;3517307;Guaimbê;10;RRAS 10;35093;MARÍLIA;3509;MARÍLIA
351740;3517406;Guaíra;13;RRAS 13;35051;NORTE-BARRETOS;3505;BARRETOS
351750;3517505;Guapiaçu;12;RRAS 12;35155;SÃO JOSÉ DO RIO PRETO;3515;SÃO JOSÉ DO RIO PRETO
351760;3517604;Guapiara;08;RRAS 08;35162;ITAPEVA;3516;SOROCABA
351770;3517703;Guará;13;RRAS 13;35083;ALTA MOGIANA;3508;FRANCA
351780;3517802;Guaraçaí;12;RRAS 12;35022;DOS LAGOS DO DRS II;3502;ARAÇATUBA
351790;3517901;Guaraci;13;RRAS 13;35051;NORTE-BARRETOS;3505;BARRETOS
351800;3518008;Guarani d'Oeste;12;RRAS 12;35154;FERNANDÓPOLIS;3515;SÃO JOSÉ DO RIO PRETO
351810;3518107;Guarantã;10;RRAS 10;35093;MARÍLIA;3509;MARÍLIA
351820;3518206;Guararapes;12;RRAS 12;35021;CENTRAL DO DRS II;3502;ARAÇATUBA
351830;3518305;Guararema;02;RRAS 02;35011;ALTO DO TIETÊ;3501;GRANDE SÃO PAULO
351840;3518404;Guaratinguetá;17;RRAS 17;35172;CIRCUITO DA FÉ - VALE HISTÓRICO;3517;TAUBATÉ
351850;3518503;Guareí;08;RRAS 08;35161;ITAPETININGA;3516;SOROCABA
351860;3518602;Guariba;13;RRAS 13;35131;HORIZONTE VERDE;3513;RIBEIRÃO PRETO
351870;3518701;Guarujá;07;RRAS 07;35041;BAIXADA SANTISTA;3504;BAIXADA SANTISTA
351880;3518800;Guarulhos;02;RRAS 02;35011;ALTO DO TIETÊ;3501;GRANDE SÃO PAULO
351885;3518859;Guatapará;13;RRAS 13;35132;AQUÍFERO GUARANI;3513;RIBEIRÃO PRETO
351890;3518909;Guzolândia;12;RRAS 12;35021;CENTRAL DO DRS II;3502;ARAÇATUBA
351900;3519006;Herculândia;10;RRAS 10;35095;TUPÃ;3509;MARÍLIA
